Name,Link,Descr,Gender,Species/Race,Blood,School,Profession
Chastity Barebone,https://www.hp-lexicon.org/character/barebone-family/chastity-barebone/,"Chastity Barebone was the oldest adopted No-Maj daughter of Mary Lou Barebone, a Second Salem leader in 1920s New York. She was almost as fervent as her mother in handing out anti-witchcraft leaflets to the orphans who came to eat soup at Second Salem Church (WFT). Chastity died when mother… ",Female,no-maj,Muggle,Unknown,Worked in Second Salem Church folding and handing out anti-magic leaflets
Credence Barebone,https://www.hp-lexicon.org/character/barebone-family/credence-barebone/,"Credence Barebone appears to be the adopted son of Mary Lou Barebone, a fanatical leader of the anti-magic Second Salem Philanthropic Society in 1920s New York. Along with his two adopted sisters, he would often help his mother and the Second Salemers by hanging up posters, finding places to… ",Male,wizard / obscurial,Half-blood,Unknown,Worked in Second Salem Church as an Anti-Magic Crusader
Barebone Family,https://www.hp-lexicon.org/character/barebone-family/,"The Barebone family was a historical No-Maj American family descended from Scourers and known for being anti-magic. At least one adopted member was found to be magical, however (WFT). Members include: Bartholomew Barebone Mary Lou Barebone Chastity Barebone Credence Barebone Modesty Barebone… ",NaN,no-maj,Unknown,Unknown,Unknown
Mary Lou Barebone,https://www.hp-lexicon.org/character/barebone-family/mary-lou-barebone/,"Mary Lou Barebone was the fanatical leader of the New Salem Philanthropic Society, an anti-magic group active in New York during the 1920s. A “handsome” woman who wore Puritanical clothing like her Scourer ancestors, Mary Lou was also mother to three adopted children whom she raised inside the New Salem… ",Female,no-maj,Muggle,Unknown,20th-century Scourer who preached against Magic
Modesty Barebone,https://www.hp-lexicon.org/character/barebone-family/modesty-barebone/,"Modesty Barebone was the youngest adopted daughter of Mary Lou Barebone, a Second Salem leader in 1920s New York. ",Female,no-maj,Muggle,Unknown,Unknown
Lucas Bargeworthy,https://www.hp-lexicon.org/character/lucas-bargeworthy/,"Lucas Bargeworthy was a Beater for the England National Team in 1870s. Bargeworthy was a participant in the mysterious 1877 Quidditch World Cup tournament held in Kazakhstan. Retaining no recollection of any of the events of the so-called “Tournament that Nobody Remembers“, he was missing most of his teeth when he… ",Male,wizard,Unknown,Unknown,Quidditch player (Beater)
Barker,https://www.hp-lexicon.org/character/barker/,Barker was the harried assistant of newspaper magnate Henry Shaw Sr. (WFT). ,Male,muggle,Muggle,Unknown,Assistant to Henry Shaw Sr.
Barnabas the Barmy,https://www.hp-lexicon.org/character/barnabas-the-barmy/,Barnabas the Barmy was a wizard who famously tried to teach ballet to trolls but was clubbed for his efforts. Barnabas is depicted on a moving tapestry on seventh floor of Hogwarts which shows his foolish attempt to train trolls for the ballet. The tapestry hangs opposite the entrance to… ,Male,wizard,Unknown,Unknown,Unknown
Barnabas Cuffe,https://www.hp-lexicon.org/character/barnabas-cuffe/,Barnabas Cuffe was editor of the Daily Prophet (HBP4). ,Male,wizard,Unknown,Unknown,Editor and writer for the Daily Prophet newspaper
Barnabas Deverill,https://www.hp-lexicon.org/character/barnabas-deverill/,"Barnabas Deverill was a one-time possessor of the Elder Wand who was killed by Loxias (DH21). He lived in the early eighteenth century and was a notorious Dark wizard who, with the help of the Elder Wand, gained a fearsome reputation (TBB). ",Male,wizard,Unknown,Unknown,Unknown
Barnabus Finkley,https://www.hp-lexicon.org/character/barnabus-finkley/,"Barnabus Finkley was presumably a famously accomplished wizard, whom the Barnabus Finkley Prize for Exceptional Spell Casting was named after.  Albus Dumbledore received this award while he was a student at Hogwarts (DH18). ",Male,wizard,Unknown,Unknown,Unknown
Barnaby Snell,https://www.hp-lexicon.org/character/barnaby-snell/,"Barnaby Snell is a fan of the Chudley Cannons Quidditch team in the 1990s. Mr Snell was quoted in the Daily Prophet. He was in disbelief after the team defeated the Wigtown Wanderers, a win which ended the Cannons’ seventeen-game losing streak (DP3). ",Male,wizard,Unknown,Unknown,Unknown
Cousin Barny,https://www.hp-lexicon.org/character/cousin-barny/,A red-haired Muggle boy whose appearance Harry uses in his “Cousin Barny” role at Bill and Fleur’s wedding (DH8). ,Male,muggle,Muggle,Unknown,Unknown
Barny the Fruitbat,https://www.hp-lexicon.org/character/barny-the-fruitbat/,Barny the Fruitbat is the mascot of the Ballycastle Bats Quidditch team and a figure used in Butterbeer advertisements (QA7). ,Male,fruitbat,Unknown,Unknown,Mascot
Barry Ryan,https://www.hp-lexicon.org/character/ryan/,"Barry Ryan was a Quidditch player and Keeper for Ireland’s National Team (1994). Ryan was a member of the winning team at the 1994 Quidditch World Cup, along with teammates Connolly and Quigley (Beaters), Aidan Lynch (Seeker), Moran, Mullet and Troy (Chasers) (GF8). Rather than Ireland’s exciting final match against the… ",Male,wizard,Unknown,Unknown,Quidditch player (Keeper)
Barty Crouch Jr.,https://www.hp-lexicon.org/character/crouch-family/barty-crouch-jr/,"Bartemius Crouch Jr., known as Barty, was one of Voldemort’s most faithful Death Eaters. Barty Crouch Jr. was the only child of Ministry official Barty Crouch, Sr., who personally sent his son to Azkanban. ",Male,wizard,Pure blood,Hogwarts - Staff,Unknown
Barty Crouch Sr.,https://www.hp-lexicon.org/character/crouch-family/barty-crouch-sr/,"Bartemius Crouch Sr. was a strict ministry official, known for sentencing his own son to Azkaban. Barty Crouch Sr. was famous for aggressively prosecuting Dark Wizards in the days of Voldemort’s rise to power. His fervor led him to authorize methods almost as bad as those of the Death Eaters… ",Male,wizard,Pure blood,Unknown,Ministry official
Baruffio,https://www.hp-lexicon.org/character/baruffio/,Baruffio was a wizard who mispronounced a charm and suffered for it (PS10). Lent his name to some patent medicine of dubious value called Baruffio’s Brain Elixir (OP31). ,Male,wizard,Unknown,Unknown,Unknown
Basil,https://www.hp-lexicon.org/character/basil/,Basil was one of two “tired and grumpy” wizards working at the Portkey landing site at the 1994 Quidditch World Cup (GF7)… ,Male,wizard,Unknown,Unknown,Unknown
Basil Flack,https://www.hp-lexicon.org/character/basil-flack/,"Basil Flack was the sixth Minister for Magic only two months in 1752, when he resigned (from fear?) due to a sudden Goblin-Werewolf alliance (Pm). ",Male,wizard,Unknown,Unknown,Unknown
Basil Horton,https://www.hp-lexicon.org/character/basil-horton/,"Basil Horton played for the Falmouth Falcons Quidditch team in the 1920s. Along with his Falcons teammate Randolph Keitch, he started the Comet Trading Company in 1929. He and Randolph are also the creators of the Horton-Keitch Braking Charm (QA9). ",Male,wizard,Unknown,Unknown,Broom manufacturer
Bathsheda Babbling,https://www.hp-lexicon.org/character/bathsheda-babbling/,Bathsheda Babbling was Hogwarts Professor for the Study of Ancient Runes. ,Female,witch,Unknown,Hogwarts - Staff,Professor of Ancient Runes
Charlie Baverstock,https://www.hp-lexicon.org/character/charlie-baverstock/,"Charlie Baverstock is the Manager of New Zealand’s Quidditch Team in 2014. At the 2014 Quidditch World Cup, Baverstock expressed his anger in colourful language after his star Chaser Dennis Moon was sent off by a Referee in their first match of the tournament – a dramatic loss… ",Male,wizard,Unknown,Unknown,Quidditch team manager
Beatrix Bloxam,https://www.hp-lexicon.org/character/beatrix-bloxam/,Beatrix Bloxam was the author of The Toadstool Tales series of children’s books. These books have been banned because they cause nausea and vomiting. Bloxam appears on a Famous Wizard card (FW) and is mentioned several times in Tales of Beedle the Bard (TBB). Bloxam’s stated ideas for children’s stories… ,Female,unknown,Unknown,Unknown,Author
Beaumont Marjoribanks,https://www.hp-lexicon.org/character/beaumont-marjoribanks/,"Beaumont Marjoribanks was a pioneer in the field of Herbology. He collected and classified many rare and magical plants. Marjoribanks is credited with discovering Gillyweed, although Elladora Ketteridge had discovered it about a century earlier (FW). ",Male,wizard,Unknown,Unknown,Herbologist
Beedle the Bard,https://www.hp-lexicon.org/character/beedle-the-bard-2/,Beedle the Bard was the accredited author of wizarding children’s fairy tales. ,Male,wizard,Unknown,Unknown,Bard / author
Herbert Beery,https://www.hp-lexicon.org/character/herbert-beery/,"Herbert Beery was the Herbology Professor sometime during Armando Dippet’s tenure as Headmaster.  He was a theatre enthusiast, and was responsible for Hogwarts’s only attempt at a pantomime.  Beery attempted to put on an adaptation of “Fountain of Fair Fortune,” with himself as director, but the evening ended in disaster… ",Male,wizard,Unknown,Hogwarts - Staff,Herbology Professor
Mr. Belby,https://www.hp-lexicon.org/character/mr-belby/,"Mr. Belby was the father of Marcus Belby and the estranged brother of Damocles Belby, inventor of the Wolfsbane Potion (HBP7). ",Male,wizard,Unknown,Unknown,Unknown
Humphrey Belcher,https://www.hp-lexicon.org/character/humphrey-belcher/,Humphrey Belcher was a wizard who mistakenly thought a cheese cauldron would be a good idea (HBP10). ,Male,wizard,Unknown,Unknown,Unknown
Katie Bell,https://www.hp-lexicon.org/character/katie-bell/,"Katie Bell is a Gryffindor girl a year older than Harry, one of the three Chasers on the Gryffindor Quidditch team during most of Harry’s years at Hogwarts. Oliver Wood considered her to be a superb Chaser (PA8), along with Angelina Johnson and Alicia Spinnet,… ",Female,witch,Unknown,Hogwarts - Gryffindor,Unknown
Brother Benedict,https://www.hp-lexicon.org/character/brother-benedict/,"Brother Benedict was a Medieval Franciscan monk in Worcestershire who had an encounter with a Jarvey, but thought it was an overlarge ferret. It insulted him, then bit him on the nose. His fellow monks thought he’d overindulged in turnip wine when he told them about it (FB).  … ",Male,muggle,Muggle,Unknown,Franciscan monk
Benedita Dourado,https://www.hp-lexicon.org/character/benedita-dourado/,"Benedita Dourado was the Headmistress of Castelobruxo in the 1940s. She is famous for offering to send then-Headmaster of Hogwarts, Armando Dippet, a few of the annoyingly mischievous Caipora who guard the Brazilian school to show him how easy he has it with Peeves (Pm). ",Female,witch,Unknown,Castelobruxo,Headmistress
Benjy Fenwick,https://www.hp-lexicon.org/character/benjy-fenwick/,Benjy Fenwick was a member of the Order of the Phoenix during the 1970s. He was killed by Death Eaters (OP9). ,Male,wizard,Unknown,Unknown,Unknown
Benjy Williams,https://www.hp-lexicon.org/character/benjy-williams/,"Benjy Williams played Seeker for Puddlemere United Quidditch team in the 1990s (DP4). His catch of the Snitch, amidst the chaos of the riot that occurred during the grudge match against the Holyhead Harpies, won the game and brought it to a close. He and other… ",Male,wizard,Unknown,Unknown,Professional quidditch player (Seeker)
Bernadette,https://www.hp-lexicon.org/character/bernadette/,"Bernadette was an Executioner at MACUSA in 1920s New York. When Tina Goldstein and Newt Scamander were accused by Auror Percival Graves of using an Obscurus to cause destruction, Bernadette led Tina to the Death Cell. She extracted happy memories from Tina’s mind and dropped them into the pool of… ",Female,witch,Unknown,Unknown,Executioner
Bernie Pillsworth,https://www.hp-lexicon.org/character/bernie-pillsworth/,"Bernie Pillsworth was a wizard who worked at the Ministry of Magic. Ron Weasley, disguised as Reginald Cattermole, had to fetch Bernie to help him stop the rain from falling inside Yaxley’s office. (DH13)  … ",Male,wizard,Unknown,Unknown,Ministry of Magic worker
Bertha Jorkins,https://www.hp-lexicon.org/character/bertha-jorkins/,Bertha Jorkins was a Ministry of Magic witch murdered by Voldemort. ,Female,witch,Unknown,Hogwarts - Student,Ministry of Magic employee
Bertha Jorkins' second cousin,https://www.hp-lexicon.org/character/bertha-jorkins-second-cousin/,,NaN,unknown,Unknown,Unknown,Unknown
Berthilde Roche,https://www.hp-lexicon.org/character/berthilde-roche/,Berthilde Roche was one of MACUSA’s original twelve aurors (Pm). ,Female,witch,Unknown,Unknown,Auror
Bertie Bott,https://www.hp-lexicon.org/character/bertie-bott/,"Bertie Bott is a wizard inventor who created the popular candy Bertie Bott’s Every Flavour Beans. While experimenting with ways to create tasty candies from food, Bott accidentally included a pair of dirty socks in one of his trials, and created the first of the many surprises found in Bertie… ",Male,wizard,Unknown,Unknown,Inventor
Bertie Higgs,https://www.hp-lexicon.org/character/bertie-higgs/,"Bertie Higgs was a hunting buddy of Cormac McLaggen’s uncle Tiberius. Cormac and his uncle accompanied Bertie and Rufus Scrimgeour to Norfolk, where they hunted Nogtails. ",Male,wizard,Unknown,Unknown,Unknown
Bertrand de Pensées-Profondes,https://www.hp-lexicon.org/character/bertrand-de-pensees-profondes/,"Bertrand de Pensées Profondes was a renowned wizarding philosopher and author of A Study into the Possibility of Reversing the Actual and Metaphysical Effects of Natural Death, with Particular Regard to the Reintegration of Essence and Matter (TBB). ",Male,wizard,Unknown,Unknown,Philosopher and author
BF,https://www.hp-lexicon.org/character/bf/,,NaN,unknown,Unknown,Unknown,Unknown
Bill Weasley,https://www.hp-lexicon.org/character/weasley-family/bill-weasley/,"William Arthur Weasley (Bill) is the oldest child of the Weasley family and is an adventurous person who works for Gringotts. Bill is married to Fleur Delacour. The oldest son of Arthur and Molly Weasley, Bill is a caring, noble wizard who can’t resist a bit of “adventure and glamour” (… ",Male,wizard,Pure blood,Hogwarts - Gryffindor,Curse Breaker at Gringotts
Billy Stubbs,https://www.hp-lexicon.org/character/billy-stubbs/,"Billy Stubbs was another child at Tom Riddle’s orphanage. Billy Stubbs had chickenpox at the time of Dumbledore’s first meeting with Riddle. According to Mrs. Cole, the day after Tom and Billy had had an argument, Billy’s pet rabbit was found hanging from the rafters (HBP13). ",Male,muggle,Muggle,Unknown,Unknown
Mr. Bingley,https://www.hp-lexicon.org/character/mr-bingley/,Mr. Bingley was a well-dressed No-Maj loan officer at the New York bank where Jacob Kowalski went to to apply for a loan to start a bakery in 1926. Mr. Bingley denied Jacob’s loan application. A short time later he was jinxed with a Full Body Bind curse… ,Male,no-maj,Muggle,Unknown,Bank official
Binky,https://www.hp-lexicon.org/character/binky/,"Binky was a young pet rabbit owned by Lavender Brown. Binky was killed by a fox in the fall of 1993. Lavender was convinced this was, as Professor Trelawney had predicted, “the thing she was dreading,” though Hermione pointed out that this didn’t make much logical sense (PA8). ",Male,rabbit,Unknown,Unknown,Unknown
Professor Binns,https://www.hp-lexicon.org/character/cuthbert-binns/,"Binns is the History of Magic teacher and the only professor at Hogwarts who is a ghost. Binns enters the classroom through the blackboard. He is ancient and shriveled in appearance, semi-transparent and a pearly-white color. After living to a great age, Binns died after falling asleep in front of… ",Male,ghost (formerly a wizard),Unknown,Hogwarts - Staff,Hogwarts Professor - History of Magic
Brevis Birch,https://www.hp-lexicon.org/character/brevis-birch/,"Brevis Birch was the Captain of the Tutshill Tornados Quidditch team in the 1990s (DP2). Birch blames the team’s loss to the Ballycastle Bats on a mysterious drowsiness that affected the Tornados’ Keeper, Mervyn Fenwick (DP2). ",Male,wizard,Unknown,Unknown,Professional Quidditch player and team captain (playing position unknown)
Dennis Bishop,https://www.hp-lexicon.org/character/dennis-bishop/,Dennis Bishop was a child from the Tom Riddle’s orphanage whom Tom Riddle once terrorized in a seaside cave (HBP13). ,Male,muggle,Muggle,Unknown,Unknown
Bellatrix Lestrange,https://www.hp-lexicon.org/character/black-family/bellatrix-lestrange/,"Bellatrix Lestrange was one of Voldemort’s most devoted Death Eaters, a cruel and vicious woman who was guilty of torturing and murdering wizards and Muggles alike. Bella, as she was sometimes called, was the oldest daughter of Druella Rosier and Cygnus Black of the “Noble and Most Ancient House of Black.”… ",Female,witch,Pure blood,Hogwarts - Slytherin,Unknown
Belvina Black,https://www.hp-lexicon.org/character/black-family/belvina-black/,Belvina Black was the only daughter of Phineas Nigellus Black and  Ursula Flint (BFT). ,Female,witch,Pure blood,Hogwarts - Slytherin,Unknown
Callidora Black,https://www.hp-lexicon.org/character/black-family/callidora-black/,Daughter of Arcturus and Lysandra Black. Two siblings: sister Charis and Cedrella (BFT). Married to Harfang Longbottom (BFT). Children: One son and one daughter (BFT). ,Female,witch,Pure blood,Hogwarts - Slytherin,Unknown
Cassiopeia Black,https://www.hp-lexicon.org/character/black-family/cassiopeia-black/,"(1915-1992) Daughter of Cygnus and Violetta (Bulstrode) Black. 3 siblings: 2 older brothers Pollux (1912-1990) and Marius (disowned, dates unknown),  younger sister Dorea(1920-1977). She never married nor had children. ",Female,witch,Pure blood,Hogwarts - Slytherin,Unknown
Charis Black,https://www.hp-lexicon.org/character/black-family/charis-black/,"Charis (Black) Crouch (1919-1973) Daughter of Arcturus and Lysandra Black. Two older sisters: Callidora and Cedrella (BFT). Married to Caspar Crouch (BFT). Children: One son, two daughters (BFT). Her son may have been Barty Crouch, Sr. ",Female,wizard,Pure blood,Hogwarts - Slytherin,Unknown
Cygnus Black,https://www.hp-lexicon.org/character/black-family/cygnus-black/,"Cygnus Black, the great-grandson of Phineas Nigellus Black, is the father of Bellatrix, Andromeda, and Narcissa Black. He is the maternal uncle to Sirius and Regulus. Cygnus was married to to Druella Rosier. ",Male,wizard,Pure blood,Hogwarts - Slytherin,Unknown
Cygnus Black (1889),https://www.hp-lexicon.org/character/black-family/cygnus-black-1889/,"Cygnus Black (1889-1943) Son of Phineas Nigellus Black and Ursula Flint (BFT). 4 Siblings: 2 older brothers, Sirius (1877-1952), Phineas (disowned, dates unknown), 1 younger brother, Arcturus (1884-1959) and 1 younger sister, Belvina (1886-1962). (BFT) Married to Violetta Bulstrode. 4 children: Pollux (1912-1990), Cassiopeia (1915-1992), Marius… ",Male,wizard,Pure blood,Hogwarts - Slytherin,Unknown
Iola Black,https://www.hp-lexicon.org/character/black-family/iola-black/,Iola Black was a witch who was burned off of the Black Family Tree when she married Muggle Bob Hitchens. ,Female,witch,Pure blood,Unknown,Unknown
Marius Black,https://www.hp-lexicon.org/character/black-family/marius-black/,"Marius Black was the great uncle of Sirius Black and a Squib. Marius, the son of Cygnus and Violetta Black, was born between 1915 and 1920 (probably 1917 or 1918). He was the brother of Pollux Black, the father of Walburga Black, Sirius and Regulus’s mother. Further details of his… ",Male,squib,Pure blood,Unknown,Unknown
Orion Black,https://www.hp-lexicon.org/character/black-family/orion-black/,"Orion Black is the father of Sirius and Regulus; he heavily fortified the family home (likely inherited by his wife, also a Black) at number twelve Grimmauld Place, London. Son of Arcturus and Melania (MacMillan) Black (BFT). One older sister: Lucretia (1915-1992). Married his second cousin Walburga… ",Male,wizard,Pure blood,Hogwarts - Slytherin,inherited wealth
Phineas Black,https://www.hp-lexicon.org/character/black-family/phineas-black/,"Phineas Black was the son of Phineas Nigellus Black, born circa early 1880s. He was removed from the Black Family Tree tapestry which hung in Grimmauld Place for supporting Muggle rights (BFT). ",Male,wizard,Pure blood,Unknown,Unknown
Pollux Black,https://www.hp-lexicon.org/character/black-family/pollux-black/,"(1912-1990) Son of Cygnus and Violetta (Bulstrode) Black (BFT) 3 younger siblings: Cassiopeia (1915-1992), Marius (disowned, dates unknown), and Dorea (1920-1977). Married to Irma Crabbe. 3 children: Walburga (1925-1985), Alphard (disowned, dates unknown) and Cygnus (1938-1992) who married Druella Rosier. Grandfather of Bellatrix, Andromeda and Narcissa. ",Male,wizard,Pure blood,Hogwarts - Slytherin,Unknown
Dorea Black Potter,https://www.hp-lexicon.org/character/black-family/dorea-black/,Daughter of Cygnus and Violetta (Bulstrode) Black (BFT). ,Female,wizard,Pure blood,Hogwarts - Slytherin,Unknown
Regulus Black,https://www.hp-lexicon.org/character/black-family/regulus-arcturus-black/,"Regulus Black was the younger brother of Sirius Black. Unlike Sirius, Regulus was favored by their parents because he shared their overweening pride in their heritage and their belief in pure-blood supremacy; indeed, Regulus became one of Voldemort’s Death Eaters around 1977 at the age of sixteen. Sirius… ",Male,wizard,Pure blood,Hogwarts - Slytherin,Unknown
Sirius Black,https://www.hp-lexicon.org/character/black-family/sirius-black/,"Sirius Black was James Potter’s closest friend, Harry Potter’s godfather, and an Animagus, who was falsely accused of betrayal and murder and imprisoned in Azkaban. Sirius Black was the elder of two boys born to an aristocratic family that was fiercely proud of its pureblood status and vehemently anti-Muggle. Unlike his younger brother Regulus and… ",Male,wizard,Pure blood,Hogwarts - Gryffindor,Unknown
Cedrella Black Weasley,https://www.hp-lexicon.org/character/weasley-family/cedrella-black-weasley/,Cedrella Weasley is the mother of Arthur Weasley. Cedrella’s marriage to Septimus Weasley caused her to be “blasted” from the Black Family Tree (BFT). ,Female,witch,Pure blood,Hogwarts - Slytherin,Unknown
Blagdon Blay,https://www.hp-lexicon.org/character/blagdon-blay/,,Male,unknown,Unknown,Unknown,Unknown
Blaise Zabini,https://www.hp-lexicon.org/character/blaise-zabini/,"Blaise Zabini was a Slytherin in Harry’s year (1991-1998) (PS7). Blaise shares Draco’s prejudice against Muggle-born witches and wizards; he has a contemptuous and arrogant manner. Ginny considers Blaise a “poser.” (HBP7). He is a member of the Slug Club due to his famous mother, who has had seven… ",Male,wizard,Unknown,Hogwarts - Slytherin,Unknown
Blaise Zabini's mother,https://www.hp-lexicon.org/character/blaise-zabinis-mother/,"Blaise Zabini’s mother was a “famously beautiful witch” who “married seven times.” Each of her wealthy husbands died a mysterious death, leaving her a lot of gold (HBP7). She is the mother of Blaise Zabini, a Slytherin in Harry’s year. ",Female,witch,Unknown,Unknown,Unknown
Susan Blancheflower,https://www.hp-lexicon.org/character/susan-blancheflower/,"Susan Blancheflower played Keeper for the United States National Team at the Quidditch World Cup in 2014. Appearances A participant in the 2014 tournament, her weakness in the early rounds was letting in too many goals during the opening matches against Jamaica and their subsequent quarter-final against… ",Female,witch,Unknown,Unknown,Quidditch player (Keeper)
Balfour Blane,https://www.hp-lexicon.org/character/balfour-blane/,Balfour Blane was a wizard who established the Committee on Experimental Charms. He appears on a Famous Wizards card (FW). ,Male,wizard,Unknown,Unknown,Unknown
Blenheim Stalk,https://www.hp-lexicon.org/character/blenheim-stalk/,"Blenheim Stalk is a well-known expert on Muggles and the author of several books, including Muggles Who Notice (FB, FW). ",Male,wizard,Unknown,Unknown,"Author, expert on Muggles"
Barnabus Blenkinsop,https://www.hp-lexicon.org/character/barnabus-blenkinsop/,Barnabas Blenkinsop was a wizard whose mysterious death is reported in the Daily Prophet (DP2)… ,Male,wizard,Unknown,Unknown,Unknown
Timothy Blenkinsop,https://www.hp-lexicon.org/character/timothy-blenkinsop/,"Timothy Blenkinsop is a supporter of the Puddlemere United Quidditch team in the 1990s (DP4). Interviewed by the Daily Prophet, Blenkinsop was 23 at the time of Puddlemere’s 30 September match against the Holyhead Harpies. He was caught in the ensuing riot and still had a tail resulting from… ",Male,wizard,Unknown,Unknown,"Puddlemere United fan, occupation unknown"
Bletchley,https://www.hp-lexicon.org/character/bletchley/,Bletchley was a Ministry of Magic employee whose rain-afflicted office was mended by the spell Meteolojinx Recanto (DH13)… ,NaN,witch or wizard,Unknown,Unknown,Ministry of Magic employee
Miles Bletchley,https://www.hp-lexicon.org/character/miles-bletchley-2/,"Miles Bletchley was a Hogwarts student in Slytherin House c.1989-1996. He was on the Slytherin Quidditch Team, playing as their Keeper, during Harry Potter’s first Quidditch match in 1991 (PS11). Bletchley hit Alicia Spinnet from behind with a jinx in the library prior to the… ",Male,wizard,Unknown,Hogwarts - Slytherin,Unknown
Jean-Baptiste Bloncourt,https://www.hp-lexicon.org/character/jean-baptiste-bloncourt/,"Jean-Baptiste Bloncourt is a Beater for the Haiti National Team at the Quidditch World Cup in 2014. As a participant at the 2014 tournament, Bloncourt single-handedly wrecked Haiti’s chances at the tournament in their first-round match against Brazil. Having accidentally hit the Haitian Seeker Jolicoeur moments before Jolicoeur… ",Male,wizard,Unknown,Unknown,Quidditch player (Beater)
The Bloody Baron,https://www.hp-lexicon.org/character/the-bloody-baron/,"The Bloody Baron is the Slytherin House ghost, a grim, silent, and terrifying specter with a gaunt face and blank eyes. His robes are covered with silver bloodstains. He is never heard to speak, although Harry does impersonate him once, using a hoarse whisper (PS16). A favorite pastime… ",Male,wizard (ghost),Pure blood,Hogwarts - Slytherin,Unknown
Blodwyn Bludd,https://www.hp-lexicon.org/character/blodwyn-bludd/,"Blodwyn Bludd was a famous Vampire known as the “Vampire from the Valleys.” Famous for singing to his victims in a sonorous bass baritone, before biting their necks (FW). ",Male,vampire,Unknown,Unknown,Unknown
Bludgeoning Boggart of Old London Town,https://www.hp-lexicon.org/character/bludgeoning-boggart-of-old-london-town/,,NaN,unknown,Unknown,Unknown,Unknown
"Bob, Bill, and Barnaby Ollerton",https://www.hp-lexicon.org/character/bob-bill-and-barnaby-ollerton/,Brothers who founded the Cleansweep Broom Company in 1926. ,NaN,unknown,Unknown,Unknown,Unknown
Melinda Bobbin,https://www.hp-lexicon.org/character/melinda-bobbin/,"Melinda Bobbin was a Hogwarts student, who in 1996 was chosen as a member of the Slug Club because her family owned a large chain of apothecaries (HBP7). ",Female,witch,Unknown,Hogwarts - Student,Unknown
Bob Hitchens,https://www.hp-lexicon.org/character/bob-hitchens/,"The Muggle man that Iola (Black) Hitchens marries, which gets her disowned from the Muggle-hating, prejudiced Black family. Her face is burned in the tapestry of the Black Family Tree. (BFT)… ",Male,muggle,Muggle,Unknown,Unknown
Bob Ogden,https://www.hp-lexicon.org/character/bob-ogden/,"Bog Ogden was a “short, plump man” who worked for the Department of Magical Law Enforcement (HBP10). Ogden wore glasses so thick that they made his eyes look like tiny specks. Albus Dumbledore interviewed Ogden during his search for information about Tom Riddle’s family and saved the memory… ",Male,wizard,Unknown,Unknown,Department of Magical Law Enforcement official
Broderick Bode,https://www.hp-lexicon.org/character/broderick-bode/,"Broderick Bode was a sallow-skinned wizard with a mournful face who worked for the Department of Mysteries (GF7, OP8). He was injured late in 1995 when Lucius Malfoy Imperiused Bode into removing the Prophecy from the Department of Mysteries (OP26). Bode lost the power of speech and… ",Male,wizard,Unknown,Unknown,Unspeakable
Old Boggle of Canterbury,https://www.hp-lexicon.org/character/old-boggle-of-canterbury/,"The Old Boggle of Canterbury was a tiny Boggart who lived in a cave near the town of Canterbury. The Boggart tricked the Muggles of the area into believing he was a mad, cannibalistic hermit by using echos (Pm:Boggart). ",NaN,boggart,Unknown,Unknown,Unknown
Bogomil Levski,https://www.hp-lexicon.org/character/levski-family/bogomil-levski/,"Bogomil Levski was a Chaser for the Bulgarian National Team in 2014. As a member of the Bulgarian side at the 2014 Quidditch World Cup, Levski and fellow Chasers Stoyanka Grozda and Nikola Vassileva were integral to the success of Bulgaria at the tournament (QWC). Matches The Bulgarians had quite an easy first… ",Male,wizard,Unknown,Unknown,Quidditch player (Chaser)
Bogrod,https://www.hp-lexicon.org/character/bogrod/,"Bogrod was an old Goblin who worked at Gringotts. He was placed under the Imperius Curse by Harry Potter while Harry, Ron Weasley, Hermione Granger, and Griphook attempted to break into the Lestrange vault deep within Gringotts (DH26). ",Male,goblin,Unknown,Unknown,Gringotts goblin
Sylvian Boigny,https://www.hp-lexicon.org/character/sylvian-boigny/,"Sylvian Boigny played Seeker for Ivory Coast’s National Team in 2014. A participant in the Quidditch World Cup tournament in 2014, Boigny failed to outrace the Norwegian Seeker and missed the Snitch in the opening Round of 16 match (QWC). ",NaN,witch or wizard,Unknown,Unknown,Quidditch player (Seeker)
Bole,https://www.hp-lexicon.org/character/bole/,"Bole was a Beater on the Slytherin Quidditch team in the 1990s. He deliberately fouled Alicia Spinnet in the 1994 Gryffindor-Slytherin Quidditch final by hitting her with his club. Bole then claimed he had thought she was a Bludger (PA15). Then again, given… ",Male,wizard,Unknown,Hogwarts - Slytherin,Unknown
Hector Bolobolo,https://www.hp-lexicon.org/character/hector-bolobolo/,"Hector Bolobolo was the Team Manager and Trainer for the Fiji National Quidditch team in 2014. Following the disaster involving the Fijian team mascots during the Opening Ceremony at the  Quidditch World Cup tournament, Bolobolo’s team played one of the tournament favourites – Nigeria – in… ",Male,wizard,Unknown,Unknown,Quidditch team manager and trainer
Bonawentura Wójcik,https://www.hp-lexicon.org/character/bonawentura-wojcik/,"Bonawentura Wójcik played Seeker for the Polish National Team in 2014. Prior to the start of the 2014 Quidditch World Cup tournament, Wójcik was accused of being the transfigured Italian star Seeker Luciano Volpi. This was disproved by them standing side-by-side at a press conference (QWC). However, by the… ",Male,wizard,Unknown,Unknown,Quidditch player (Seeker)
